player,metric,avg_value
Patrick Mahomes,pass_yds,50.0
Patrick Mahomes,pass_tds,4.0
Josh Allen,pass_yds,50.0
Josh Allen,pass_tds,4.0
Lamar Jackson,pass_yds,50.0
Lamar Jackson,pass_tds,4.0
Christian McCaffrey,rush_yds,50.0
Christian McCaffrey,rec_yds,50.0
Bijan Robinson,rush_yds,50.0
Bijan Robinson,rec_yds,50.0
Saquon Barkley,rush_yds,50.0
Saquon Barkley,rec_yds,50.0
Tyreek Hill,rec_yds,50.0
Tyreek Hill,receptions,4.0
Justin Jefferson,rec_yds,50.0
Justin Jefferson,receptions,4.0
Ja'Marr Chase,rec_yds,50.0
Ja'Marr Chase,receptions,4.0
Travis Kelce,rec_yds,50.0
Travis Kelce,receptions,4.0
Sam LaPorta,rec_yds,50.0
Sam LaPorta,receptions,4.0
